식품코드,식품코드명,농진청식품코드
06249,"시금치, 노지, 생것",F1150010000a
06250,"시금치, 하우스, 생것",F1150030000a
06251,"시금치, 데친것",F1150000009c
06252,"시금치, 포항초, 생것",F1150020000a
06257,"무순, 싹, 생것",F066000B120a
06258,"메밀, 싹, 생것",F211000B120a
06259,"알팔파, 싹, 생것",F127000B120a
06262,"쌈추, 생것",F1170000000a
06263,"쑥, 생것",F1180000000a
06265,"쑥갓, 생것",F1190000000a
06266,"쑥갓, 데친것",F1190000009c
06268,"씀바귀, 생것",F1210000000a
06269,"씀바귀, 데친것",F1210000009c
06271,"아스파라거스, 생것",F1220000000a
06272,"아스파라거스, 데친것",F1220000009c
06274,"아욱, 생것",F1230000000a
06275,"아욱, 데친것",F1230000009c
06277,"아주까리, 잎, 생것",F125000B140a
06279,"양배추, 생것",F1290000000a
06280,"양배추, 데친것",F1290000009c
06281,"양배추 샐러드, 코울슬로",F1300010009a
06282,"양배추, 적색, 생것",F1290010000a
06283,"상추, 결구(양상추), 녹색, 생것",F1010142490a
06285,"양파, 생것",F1320000000a
06287,"양파, 말린것",F1320000001a
06288,"양파, 데친것",F1320000009c
06289,"양파링, 튀긴것(튀김옷)",F1330000009k
06294,"음나무(엄나무), 잎, 데친것",F138000B149c
06297,"여주(고야), 생것",F1400000000a
06298,"연근, 생것",F1410000000a
06299,"연근, 데친것",F1410000009c
06300,"열무, 생것",F1440000000a
06301,"열무, 데친것",F1440000009c
06303,염교(락교),F146000000Ja
06307,"오이, 다다기, 생것",F1480010000a
06310,"오이, 늙은오이, 생것",F1480030000a
06311,"오이지, 염절임",F150000000Ia
06312,오이 피클,F149000000Ja
06313,"김치, 오이 소박이",F2050110009a
06320,"우엉, 생것",F1540000000a
06321,"우엉, 데친것",F1540000009c
06323,"원추리, 생것",F1560000000a
06326,"유채, 잎, 생것",F157000B140a
06327,"유채, 동채, 생것",F1570010000a
06329,"유채, 잎줄기, 데친것",F157004B159c
06333,"겨자, 적색, 생것",F0110010000a
06338,"대나무순(죽순), 생것",F167000B110a
06340,"대나무순(죽순), 데친것",F167000B119c
06341,"대나무순(죽순), 통조림",F167000B11Ra
06347,"참나물, 재배, 생것",F1710020000a
06349,"참나물, 재배, 말린것",F1710020001a
06354,"취나물, 참취, 생것",F1770030000a
06356,"취나물, 참취, 데친것",F1770030009c
06357,"청경채, 생것",F1750000000a
06358,"치커리, 잎, 적색, 생것",F178001B140a
06359,"치커리, 잎, 생것",F178000B140a
06362,"케일, 생것",F1800000000a
06365,"콜라비, 생것",F1810000000a
06366,"콜라비, 데친것",F1810000009c
06367,"콩나물, 생것",F1820000000a
06368,"콩나물, 삶은것",F1820000009b
06372,"콩잎, 잎, 생것",F183000B140a
06375,"토란대, 줄기, 생것",F185000B160a
06376,"토란대, 줄기, 데친것",F185000B169c
06378,"토란대, 줄기, 말린것, 데친것",F185000B161b
06379,"토마토, 생것",F1860000000a
06380,"토마토, 데친것",F1860000009c
06381,토마토 음료,F1870002299a
06382,"토마토, 통조림",F186000000Ra
06383,"토마토, 통조림, 페이스트",F1880000009a
06384,"토마토, 통조림, 퓨레",F189000000Ra
06385,"토마토, 방울토마토, 생것",F1860010000a
06386,"토마토, 흑토마토, 생것",F1860030000a
